Codepoint,Emoji,Emoji_Description,Sentiment
U+1F925,🤥 , Lying Face,liar
U+1F60C,😌 , Relieved Face,relief
U+1F614,😔 , Pensive Face,defeat disappointed
U+1F62A,😪 , Sleepy Face,sick sad
U+1F924,🤤 , Drooling Face,attractive flirt  delicious
U+1F634,😴 , Sleeping Face,tired
U+1F637,😷 , Face with Medical Mask,sick
U+1F912,🤒 , Face with Thermometer,sick
U+1F915,🤕 , Face with Head-Bandage,sick injured
U+1F922,🤢 , Nauseated Face,sick
U+1F92E,🤮 , Face Vomiting,sick
U+1F927,🤧 , Sneezing Face,sick
U+1F975,🥵 , Hot Face,hot
U+1F976,🥶 , Cold Face,cold
U+1F974,🥴 , Woozy Face,drunk silly
U+1F635,😵 , Dizzy Face,sick confused dead
U+1F92F,🤯 , Exploding Head,shock awe amazed
U+1F920,🤠 , Cowboy Hat Face,cowboy confident adventure
U+1F973,🥳 , Partying Face,happy party
U+1F60E,😎 , Smiling Face with Sunglasses,happy confident cool
U+1F913,🤓 , Nerd Face,smart intelligent excitement
U+1F9D0,🧐 , Face with Monocle,sophistication consider skeptical
U+1F615,😕 , Confused Face,confused sad
U+1F61F,😟 , Worried Face,sad worried concern
U+1F641,🙁 , Slightly Frowning Face,sad
U+2639,☹️, Frowning Face,sad
U+1F62E,😮 , Face with Open Mouth,sad
U+1F62F,😯 , Hushed Face,surprised amazed
U+1F632,😲 , Astonished Face,shock surprised amazed concern
U+1F633,😳 , Flushed Face,embarassed
U+1F97A,🥺 , Pleading Face,compassion love sad
U+1F626,😦 , Frowning Face with Open Mouth,sad disappointed shock
U+1F627,😧 , Anguished Face,sad fear shock
U+1F628,😨 , Fearful Face,sad fear shock
U+1F630,😰 , Anxious Face with Sweat,sad fear anxious
U+1F625,😥 , Sad but Relieved Face,sad disappointed
U+1F622,😢 , Crying Face,sad pain
U+1F62D,😭 , Loudly Crying Face,sad grief bawl
U+1F631,😱 , Face Screaming in Fear,shock awe fear
U+1F616,😖 , Confounded Face,defeat irriration disgust
U+1F623,😣 , Persevering Face,sad frustration struggle
U+1F61E,😞 , Disappointed Face,sad disappointed
U+1F613,😓 , Downcast Face with Sweat,sad frustration
U+1F629,😩 , Weary Face,sad defeat
U+1F62B,😫 , Tired Face,sad frustration excitement
U+1F971,🥱 , Yawning Face,tired
U+1F624,😤 , Face with Steam From Nose,irriration angry
U+1F621,😡 , Pouting Face,angry mad
U+1F620,😠 , Angry Face,angry mad
U+1F92C,🤬 , Face with Symbols on Mouth,angry mad
U+1F608,😈 , Smiling Face with Horns,mischief excitement
U+1F47F,👿 , Angry Face with Horns,angry evil
U+1F480,💀 , Skull,laugh frustration
U+1F4A9,💩 , Pile of Poo,happy silly mistake
U+1F921,🤡 , Clown Face,foolish stupid
U+1F479,👹 , Ogre,Ugly
U+1F63A,😺 , Grinning Cat,happy
U+1F638,😸 , Grinning Cat with Smiling Eyes,happy joy
U+1F639,😹 , Cat with Tears of Joy,happy joy
U+1F63B,😻 , Smiling Cat with Heart-Eyes,happy love silly
U+1F63C,😼 , Cat with Wry Smile,silly flirt
U+1F63D,😽 , Kissing Cat,silly flirt love
U+1F640,🙀 , Weary Cat,silly shock surprise
U+1F63F,😿 , Crying Cat,sad
U+1F63E,😾 , Pouting Cat,irriration angry
U+1F648,🙈 , See-No-Evil Monkey,happy silly surprise
U+1F649,🙉 , Hear-No-Evil Monkey,happy silly surprise
U+1F64A,🙊 , Speak-No-Evil Monkey,happy silly surprise
U+1F48B,💋 , Kiss Mark,happy love flirt
U+1F48C,💌 , Love Letter,happy love flirt
U+1F498,💘 , Heart with Arrow,happy love flirt
U+1F49D,💝 , Heart with Ribbon,happy love flirt
U+1F496,💖 , Sparkling Heart,happy love flirt
U+1F497,💗 , Growing Heart,happy love flirt
U+1F493,💓 , Beating Heart,happy love flirt
U+1F49E,💞 , Revolving Hearts,happy love flirt
U+1F495,💕 , Two Hearts,happy love flirt
U+1F49F,💟 , Heart Decoration,happy love flirt
U+2763,❣️, Heart Exclamation,happy love flirt excitement
U+1F494,💔 , Broken Heart,sad
U+2764,❤️, Red Heart,happy love
U+1F9E1,🧡 , Orange Heart,happy
U+1F49B,💛 , Yellow Heart,happy
U+1F49A,💚 , Green Heart,happy
U+1F499,💙 , Blue Heart,happy
U+1F49C,💜 , Purple Heart,happy
U+1F90E,🤎 , Brown Heart,happy
U+1F5A4,🖤 , Black Heart,happy
U+1F90D,🤍 , White Heart,happy
U+1F4AF,💯 , Hundred Points,agree accept real
U+1F91E,🤞 , Crossed Fingers,hope
U+1F91E,🤞🏻,🤞🏻 Crossed Fingers: Light Skin Tone,hope
U+1F91E,🤞🏼,🤞🏼 Crossed Fingers: Medium-Light Skin Tone,hope
U+1F91E,🤞🏽,🤞🏽 Crossed Fingers: Medium Skin Tone,hope
U+1F91E,🤞🏾,🤞🏾 Crossed Fingers: Medium-Dark Skin Tone,hope
U+1F91E,🤞🏿,🤞🏿 Crossed Fingers: Dark Skin Tone,hope
U+1F91F,🤟 , Love-You Gesture,love
U+1F91F,🤟🏻,🤟🏻 Love-You Gesture: Light Skin Tone,love
U+1F91F,🤟🏼,🤟🏼 Love-You Gesture: Medium-Light Skin Tone,love
U+1F91F,🤟🏽,🤟🏽 Love-You Gesture: Medium Skin Tone,love
U+1F91F,🤟🏾,🤟🏾 Love-You Gesture: Medium-Dark Skin Tone,love
U+1F91F,🤟🏿,🤟🏿 Love-You Gesture: Dark Skin Tone,love
U+1F447,👇 , Backhand Index Pointing Down,attention low negative
U+1F447,👇🏻,👇🏻 Backhand Index Pointing Down: Light Skin Tone,attention low negative
U+1F447,👇🏼,👇🏼 Backhand Index Pointing Down: Medium-Light Skin Tone,attention low negative
U+1F447,👇🏽,👇🏽 Backhand Index Pointing Down: Medium Skin Tone,attention low negative
U+1F447,👇🏾,👇🏾 Backhand Index Pointing Down: Medium-Dark Skin Tone,attention low negative
U+1F447,👇🏿,👇🏿 Backhand Index Pointing Down: Dark Skin Tone,attention low negative
U+1F44D,👍 , Thumbs Up,positive approval
U+1F44D,👍🏻,👍🏻 Thumbs Up: Light Skin Tone,positive approval
U+1F44D,👍🏼,👍🏼 Thumbs Up: Medium-Light Skin Tone,positive approval
U+1F44D,👍🏽,👍🏽 Thumbs Up: Medium Skin Tone,positive approval
U+1F44D,👍🏾,👍🏾 Thumbs Up: Medium-Dark Skin Tone,positive approval
U+1F44D,👍🏿,👍🏿 Thumbs Up: Dark Skin Tone,positive approval
U+1F44E,👎 , Thumbs Down,negative disagree
U+1F44E,👎🏻,👎🏻 Thumbs Down: Light Skin Tone,negative disagree
U+1F44E,👎🏼,👎🏼 Thumbs Down: Medium-Light Skin Tone,negative disagree
U+1F44E,👎🏽,👎🏽 Thumbs Down: Medium Skin Tone,negative disagree
U+1F44E,👎🏾,👎🏾 Thumbs Down: Medium-Dark Skin Tone,negative disagree
U+1F44E,👎🏿,👎🏿 Thumbs Down: Dark Skin Tone,negative disagree
U+1F44A,👊 , Oncoming Fist,power
U+1F44A,👊🏻,👊🏻 Oncoming Fist: Light Skin Tone,power
U+1F44A,👊🏼,👊🏼 Oncoming Fist: Medium-Light Skin Tone,power
U+1F44A,👊🏽,👊🏽 Oncoming Fist: Medium Skin Tone,power
U+1F44A,👊🏾,👊🏾 Oncoming Fist: Medium-Dark Skin Tone,power
U+1F44A,👊🏿,👊🏿 Oncoming Fist: Dark Skin Tone,power
U+1F44F,👏 , Clapping Hands,happy congratulations
U+1F44F,👏🏻,👏🏻 Clapping Hands: Light Skin Tone,happy congratulations
U+1F44F,👏🏼,👏🏼 Clapping Hands: Medium-Light Skin Tone,happy congratulations
U+1F44F,👏🏽,👏🏽 Clapping Hands: Medium Skin Tone,happy congratulations
U+1F44F,👏🏾,👏🏾 Clapping Hands: Medium-Dark Skin Tone,happy congratulations
U+1F44F,👏🏿,👏🏿 Clapping Hands: Dark Skin Tone,happy congratulations
U+1F64C,🙌 , Raising Hands,happy excitement celebration
U+1F64C,🙌🏻,🙌🏻 Raising Hands: Light Skin Tone,happy excitement celebration
U+1F64C,🙌🏼,🙌🏼 Raising Hands: Medium-Light Skin Tone,happy excitement celebration
U+1F64C,🙌🏽,🙌🏽 Raising Hands: Medium Skin Tone,happy excitement celebration
U+1F64C,🙌🏾,🙌🏾 Raising Hands: Medium-Dark Skin Tone,happy excitement celebration
U+1F64C,🙌🏿,🙌🏿 Raising Hands: Dark Skin Tone,happy excitement celebration
U+1F450,👐 , Open Hands,happy excitement
U+1F450,👐🏻,👐🏻 Open Hands: Light Skin Tone,happy excitement
U+1F450,👐🏼,👐🏼 Open Hands: Medium-Light Skin Tone,happy excitement
U+1F450,👐🏽,👐🏽 Open Hands: Medium Skin Tone,happy excitement
U+1F450,👐🏾,👐🏾 Open Hands: Medium-Dark Skin Tone,happy excitement
U+1F450,👐🏿,👐🏿 Open Hands: Dark Skin Tone,happy excitement
U+1F932,🤲 , Palms Up Together,beg
U+1F932,🤲🏻,🤲🏻 Palms Up Together: Light Skin Tone,beg
U+1F932,🤲🏼,🤲🏼 Palms Up Together: Medium-Light Skin Tone,beg
U+1F932,🤲🏽,🤲🏽 Palms Up Together: Medium Skin Tone,beg
U+1F932,🤲🏾,🤲🏾 Palms Up Together: Medium-Dark Skin Tone,beg
U+1F932,🤲🏿,🤲🏿 Palms Up Together: Dark Skin Tone,beg
U+1F91D,🤝 , Handshake,teamwork cooperation
U+1F64F,🙏 , Folded Hands,pray thanks
U+1F64F,🙏🏻,🙏🏻 Folded Hands: Light Skin Tone,pray thanks
U+1F64F,🙏🏼,🙏🏼 Folded Hands: Medium-Light Skin Tone,pray thanks
U+1F64F,🙏🏽,🙏🏽 Folded Hands: Medium Skin Tone,pray thanks
U+1F64F,🙏🏾,🙏🏾 Folded Hands: Medium-Dark Skin Tone,pray thanks
U+1F64F,🙏🏿,🙏🏿 Folded Hands: Dark Skin Tone,pray thanks
U+1F346,🍆 , Eggplant,sex
